CardCode,CardName,GroupCode,Address,ZipCode,MailAddres,CntctPrsn,City
50612,קיסר אלומניום,107,המעגל 56,NULL,המעגל 56,NULL,קריית אונו
50337,עמרני חומרי בניין בעמ,109,הנצח 2,NULL,הנצח 2,גיול,רמת השרון
50572,א.ג. תעשיות מטבחים,103,שיזף 3 דירה 25,NULL,העמל 4,בעל עסק,אור יהודה
50322,עדי מרכז לשיווק קרמיקות וכלים סנטרים בעמ,117,המלאכה 10 קרית אתגרים א.ת א,NULL,המלאכה 10 קרית אתגרים א.ת א,NULL,רעננה
50112,ברזים סי.או.אי.אל. בעמ,109,בן ציון גליס 18 חנות 3,NULL,בן ציון גליס 18 חנות 3,אסף,פתח תקווה
50254,מ. דוכי יבוא ושיווק (1975)(2009) בעמ (סכנין) - לא פעיל,109,ת.ד 1,30810,-,NULL,סכנין
50230,יעקב חרש בעמ -חיפה,131,הבנאי 12,NULL,הנפח 28 א צ'ק פוסט,"מייל תמ""ש",חולון
50380,קרמיקה ושיש אחשיבון,109,ת.ד 608,16930,כביש ראשי מול תחנת דלק פז,NULL,כפר כנא
50240,יונס בסיס,109,ת.ד 3162,30056,-,ת.מ.,דלית אל כרמל
50608,מלדן עיצובים 2009 בעמ,117,השקד 15,NULL,ויצמן 3,איש קשר,נתניה
50580,סופר קרמיק ירושלים,120,NULL,NULL,האומן 28,NULL,NULL
50172,הום סנטר אישפור סנטרמודיעין,114,טוליפמן 7,NULL,-,NULL,ראשון לציון
50718,כדורי ערן,103,הניגונים 17,NULL,הניגונים 17,NULL,פתח תקווה
50185,הלפרין גרניט פורצלן בעמ,103,ששת הימים 10,5120229,יצחק גולדברג 1 - מרכז קניאל,מייל גיול,בני ברק
50100,בי.איי.טי.או. חברה למסחר בעמ,117,גיסין 13,NULL,גיסין 13,NULL,פתח תקווה
50668,היבואן י.ש. בעמ (סניף אשדוד),109,הפלס 5,8489205,רחוב האורגים 2,"תמ""ש",באר שבע
50690,אול אין הום בעמ,110,-,NULL,עבד אלקרים,"מייל תמ""ש חתומות",כפר קאסם
50241,יוסקה בלוקים בעמ,109,שתולים 60,NULL,שתולים 60,דודי,תל אביב שכונת עזרא
50244,כוורת חומרי בניין בעמ,109,ת.ד 8109,42293,הבונים 17 א. תעשיה חדש,כוורת ת.משלוח,נתניה
50005,אליאב עיצובים בעמ,130,א.ת  המגן 1,7683301,א.ת  המגן 1,"מייל תמ""ש חתומות",מזכרת בתיה
50611,יעקב חרש בעמ -פת,131,הבנאי 12,NULL,בן ציון גליס 15,"מייל תמ""ש",חולון
50210,טופז קרמיקה -יפו בת ים,109,מנחם יקואל 4,NULL,מנחם יקואל 4,טופז גיול,בת ים
50575,מולטי ריטייל גרופ בעמ - טבריה סניף 23,123,גליס 9 צומת סגולה,NULL,יהודה הלוי 1,מחסן,פתח תקווה
50166,הום  סנטר קרית שמונה,114,טוליפמן 7,NULL,-,NULL,ראשון לציון
50084,אלומיניום גבעתיים,103,כורזין 5,53583,כורזין 5,NULL,גבעתיים
50165,הום  סנטר קרית גת,114,טוליפמן 7,NULL,הרימון 49,NULL,ראשון לציון
50000,אחים לוי - יבואני קרמיקה בעמ,130,ת.ד 170 א.ת חבל  מודיעין,7319900,א.ת. שהם ת.ד. 170,הזמנה לא תקינה,מודיעין
50124,דור וצורי בעמ,109,המכבים 116,5122578,המכבים 116,"מייל תמ""ש חתומות",בני ברק
50190,ויה ארקדיה- פרוייקטים,120,יצחק בן צבי 30,7563330,דרך בן צבי 30,מירי,ראשון לציון
50455,לקוחות מזדמנים-דקל,107,NULL,NULL,סניטק לב הארץ,NULL,NULL
50346,פריד מאיר (בני ברק),103,היצירה 8,NULL,נועם אלימלך 2 בני ברק,שמואל,רמלה
50620,יעקב חרש בעמ - מרכז,131,המרכבה 8,5885021,המרכבה 8,חרש,חולון
50155,הום  סנטר מעלות,114,טוליפמן 7,NULL,א.ת,NULL,ראשון לציון
50110,בר עמי 1990 בעמ,109,האומן 25 -תלפיות,9342116,האומן 25 -תלפיות,סטטוס הזמנות,ירושלים
50010,א.נ. ריאן ובניו יבוא ושווק  בעמ,130,2020,2496300,2020,ת.מ.,כאבול
50594,מולטי ריטייל גרופ בעמ - נמל נובה,123,גליס 9 צומת סגולה,NULL,יריד המזרח,NULL,פתח תקווה
50282,מרכז המקלחונים,109,היוצרים 2,4442702,44286,מייל גיול,כפר סבא
50709,אברהם קראדי ובניו בעמ,109,ההדס 23,3060000,ההדס 23,גיול,אור עקיבא
50642,הוברמן גיל,130,כנרת 30,NULL,כנרת 30,גיל,שערי תקווה
50595,אביטל דיזיין-הבוטיק לעיצוב הבית,109,יצחק בן צבי 41,NULL,יצחק בן צבי 41,בעל העסק,ראשון לציון
50085,אלינור קרמיקה ועיצובים,103,לוחמי הגטאות 35,2244742,לוחמי הגטאות 35,NULL,נהריה
50634,המשולש לקרמיקה ושיש {1998} בעמ,109,ת.ד 2153,30010,אום אל פחם,"מייל תמ""ש",א.א פחם
50300,סאיג ובניו בעמ,109,( ת.ד 10727),NULL,דרך שפרעם 1029,מייל תעודות משלוח,נצרת
60667,אלישבע מואטי,107,עמק רפאים 60/7,NULL,NULL,NULL,ירושלים
50466,לקוחות מזדמנים-דודי,107,NULL,NULL,NULL,NULL,NULL
50578,א.ד שפע קרמיקה בעמ - סניף מפרץ חיפה,109,אסרף אברהם  רח ההגנה 7/6,NULL,חלוצי התעשיה 35,NULL,קרית ביאליק
50567,א.בן יהודה תעשייה ממוחשבת בעמ,123,שוהם 1 דירה 31,7030000,אזור תעשיה עמנואל,"בן יהודה תמ""ש",באר יעקב
50606,רנסנס יבוא ושווק מוצרי בניה בעמ,103,אהוד קינמון 18 ת.ד 4046,NULL,אהוד קינמון 18,NULL,בת ים
50550,משרד מכירות קרמיקה בש,123,הרצל 5,NULL,הרצל 5,בעלים,באר שבע
50646,בוטיק קרמיק בעמ,109,סוקלוב 86,NULL,סוקלוב 86,גיול,רמת השרון
50368,קרמיק דיפו (חשבון מרכז ),113,ת.ד 2195,84874,באר שבע,קרמיק ת.משלוח,באר שבע
50119,גלריה לקרמיקה,109,ת.ד 222 יקנעם עילית,2069203,-,"מייל תמ""ש חתומות",יקנעם עילית
50261,מודי יבוא ושווק קרמיקה בעמ (מרכז),109,הלחי 31,51200,-,תעודת משלוח,בני ברק
50533,נגב קרמיקה -בילו עודפים,113,NULL,NULL,צומת בילו,NULL,NULL
50292,נאסר אחסאן קרמיקה,117,ת.ד 3389,44915,טירה,NULL,טירה
50142,הום  סנטר בת -ים,114,טוליפמן 7,NULL,עמל 11,NULL,ראשון לציון
50711,ב.ה קרמיקה וחומרי בניין בעמ,109,מרדכי פופר 7,NULL,משה בקר 3,תמש,ראשון לציון
50501,היפר רוזנפלד ש.מ 2012 בעמ,123,בן ציון גליס 32,49145,בן ציון גליס 32,איש קשר,פתח תקוה
50519,סופר קרמיק רמת גן,120,NULL,NULL,הלחי 17,NULL,NULL
50510,היב קרמיקה בעמ,109,התעשיה 51,NULL,התעשיה 51,איש קשר,נשר
50250,לילו וטורי בעמ,109,הפלדה 12,ת.ד 2194,הפלדה 12,לילו ת.משלוח,עמק שרה באר שבע
50362,קמירקה בעמ,109,ת.ד 13751,NULL,פנקס 14,רפי,נתניה
50339,עפיף אבו עסבה,109,ת.ד 823,30091,-,NULL,כפר ג'ת המשולש
50602,סירינסטון בעמ,117,באקה אלגרבייה,NULL,באקה אלגרבייה 30/100,איש קשר,באקה אלגרבייה
50529,נגב קרמיקה באר שבע,113,NULL,NULL,הפועלים 21,NULL,NULL
50234,י.זהבי חרושת מרצפות בעמ,103,פלוטיצקי 12,NULL,פלוטיצקי 12,זהבי גיול,ראשלצ
50587,מולטי ריטייל גרופ בעמ - עכו סניף 19,123,גליס 9 צומת סגולה,NULL,שלום הגליל 1,מחסן,פתח תקווה
50099,בזלת דנילוף מוצרי בנייה 99 בעמ,109,"יהודה הלוי 12, אזור התעשיה",1424636,שדרות הרצל 1,מייל שני,טבריה
50213,טורקיז י.ג בעמ,103,ת.ד 261,3601102,-,"מייל תמ""ש",קרית טבעון
50573,בוגיז דיזייןבעמ,103,דרך בית לחם 9,NULL,דרך בית לחם 9,בעל העסק,ירושלים
50661,ע.ד.י.ד (2013) עיצובים בעמ,103,ישוב דאלית אל כרמל,3005600,-,מייל גיול,דאלית אל כרמל
70004,אלרועי,107,השלושה 37,NULL,NULL,NULL,כפר מעש
50326,עולם הקרמיקה,103,ת.ד 59,NULL,אזור תעשייה ק. מלאכי,גיול,קרית מלאכי
50169,הום  סנטר רעננה,114,טוליפמן 7,NULL,המלאכה 2 קניון רננים,NULL,ראשון לציון
50540,רועי- מתקינים-צ'יק צ'ק (חיוב מתקין),128,נוטע 52/5,NULL,-,NULL,תל מונד
50515,ויה ארקדיה ראשון לציון,120,NULL,NULL,הלחי 4,NULL,NULL
50232,י.א בראור בעמ,117,שכטרמן 17,NULL,שכטרמן 17,מייל תעודות משלוח,נתניה
50263,מודי יבוא ושווק קרמיקה בעמ,111,הלחי 31,NULL,מרכז לוגיסטי מודי,NULL,בני ברק
50340,פורצלנו יבוא ושווק פורצלן ושיש בעמ,103,אהליאב 3 רוממה,NULL,אהליאב 3 רוממה,מייל גיול,ירושלים
50226,יעקב חרש בעמ -ירושלים,131,הבנאי 12,NULL,התעשייה 4 (תלפיות),מייל הזמנות,חולון
50392,רב אריח קרמיקה ורצוף(משפ' סרבניק),109,רב עקיבא 14/15,NULL,אבנר נזר 26,תעודות משלוח יומיות,מודיעין עילית
50514,נגב הום דיזיין בעמ,113,יצחק בן צבי 30,NULL,יצחק בן צבי 30,רינת רכש,"ראשל""צ"
70002,בורשטיין נעמי,107,יונה 16,NULL,NULL,NULL,פתח תקוה
50598,א.ח טאפס בעמ,109,הרצל 21,NULL,הרצל 21,תעודת משלוח,יהוד
50214,טיב הקרמיקה בעמ **לא פעיל**,109,יעקוב 9 רחובות,7626212,בעלי המלאכה,NULL,רחובות
50373,קרמיקה אבו עומר,130,ת.ד 714,16955,יפיע,הזמנה לא תקינה,יפיע
50421,שרלי חומרי בנין בעמ,130,ת.ד 27409,68081,"לח""י 52",1,תל אביב יפו
50370,קרמיק דיפו (סגולה פתח תקווה ),113,ת.ד 2195,NULL,בן ציון גליס 8 סגולה פתח תקווה,קליטת הזמנות,באר שבע
50228,י. חרש בעמ מרכז -פרוייקט,131,הבנאי 12,NULL,הבנאי 12,NULL,חולון
50667,סטודיו קרמיקה בעמ סניף ראשלצ,103,NULL,NULL,"רח' אצ""ל 53",NULL,NULL
50436,בן פורת יבואנים,109,כנפי נשרים 3 גבעת שאול,NULL,כנפי נשרים 3 גבעת שאול,"מייל תמ""ש",ירושלים
50524,נגב קרמיקה חיפה,113,NULL,NULL,מקלף 55,NULL,NULL
50013,א.צ מחסני קרמיקה בעמ,130,המעפילים 4 א.ת ק.אתא,2822862,המעפילים 4 א.ת ק.אתא,גיול,קרית אתא
50284,מרכז הקרמיקה פולינוי בעמ (מחסן ),117,הרצל 118,NULL,"אדום 6, א.ת. כנות",רוני,רמלה
50629,אליאב עיצובים בעמ(עסקאות),103,א.ת  המגן 1,76804,א.ת  המגן 1,"מייל תמ""ש",מזכרת בתיה
50267,מועדי בית הקרמיקה בעמ,130,ת.ד 313,24967,ת.ד 313,אחלם,כפר ירכא
50605,נאסר אחסאן הירש בעמ,117,ת.ד 3389,44915,טירה,NULL,טירה
50106,מרכז הבניין והקרמיקה בן חיים בעמ,109,ת.ד 671,1171501,א.ת הצפוני רחוב החרמש 1,דוח קריאות שירות,בית שאן
50701,א.ס מלודי השקעות,109,משה אביב 10,6037132,משה אביב 10,גיול,אור יהודה
50647,מולטי ריטייל גרופ בעמ - עין שמר סניף 24,123,גליס 9 צומת סגולה,NULL,-,מייל בירור הזמנות,פתח תקווה
50321,עבוד באסל,109,ת.ד 134,16000,-,NULL,נצרת
50184,(לא פעיל)הכח בימס לחומרי בניין ואינסטלציה סינטרית,109,דרך מנחם בגין 26,6618207,דרך מנחם בגין 26,סטטוס הזמנה,תל אביב
50593,מולטי ריטייל גרופ בעמ - בני ברק  סניף  26,123,גליס 9 צומת סגולה,NULL,מבצע קדש 54,מייל בירור הזמנות,פתח תקווה
50211,ספיר קרמיקה בת- ים,103,מצודת ביתר 3,5959232,מצודת ביתר 3,NULL,בת ים
50516,ויה ארקדיה רמת גן,120,NULL,NULL,הלחי 7,NULL,NULL
50553,צבעי השיש,103,החריש 20,NULL,החריש 20,בעל עסק,עמק חפר
50558,מ.שאולוף ובניו  בעמ( גבעת שאול)-עסקאות,117,ת.ד. 5116,91050,אלקבץ 30,NULL,ירושלים ג.שאול
50539,ח.י עשוש קרמיקה בעמ,109,החלוץ 4,NULL,החלוץ 4,גיול,אשקלון
50534,נגב קרמיקה נתניה,113,NULL,NULL,בני גאון 9,NULL,NULL
50693,קרמיק ארט,109,יגאל אלון 24,NULL,יגאל אלון 24,גיול,בית שמש
50256,מ.שאולוף ובניו  בעמ( גבעת שאול),109,אלקבץ 30 ג.שאול,91050,אלקבץ 30 ג.שאול,מייל גיול,ירושלים
50507,אמבט לי,109,האומנות 20,NULL,האומנות 20,זיו,נתניה
50386,קרמיקה סעד בעמ,103,ת.ד 193,NULL,כביש ראשי יפיע,NULL,נצרת
50546,מולטי ריטייל גרופ בעמ - כרמיאל סניף  38,123,גליס 9 צומת סגולה,NULL,חרושת 27,איש קשר,פתח תקווה
50402,ש.י.ב שיווק ח.בניין בעמ,109,"""ד""""ר ארליך 4""",68098,"""ד""""ר ארליך 4""","מייל תמ""ש",יפו
50364,קרמיק דיזיין,109,( ת.ד 5126),87761,"""ד""""ר סמילו יוסף 51 """,מאיר,נתיבות
50173,הום סנטר בעמ - חולון מול חצי חינם,114,טוליפמן 7,NULL,רח' הרוקמים,NULL,ראשון לציון
50052,מולטי ריטייל גרופ בעמ - חיפה חוצות המפרץ סניף 52,123,גליס 9 צומת סגולה,NULL,החרושת צומת וולקן,מייל בירור הזמנות,פתח תקווה
50556,סיראמיק דיזיין ב.א לעיצוב הבית בעמ -סניף אפק,109,ת.ד 384,48810,כפר קאסם מחסן 6,1,כפר  קאסם
50394,רון קרמיקה בעמ,109,ת.ד 2271,38121,ירושלים 105 ת.ד 2271,מייל תעודות משלוח,חדרה
50058,אסף ברזים ואינסטלציה בעמ ( מרכז השרון),103,סוקולוב 93,4723904,סוקולוב 93,שלום סולומון,רמת השרון
50045,מולטי ריטייל גרופ בעמ - אשקלון סניף 61,123,גליס 9 צומת סגולה,NULL,פאוור סנטר צומת סילבר,מייל בירור הזמנות,פתח תקווה
50551,הום סנטר ירכה,114,טוליפמן 7,NULL,-,NULL,ראשון לציון
50484,לקוחות מזדמנים שלומי,107,NULL,NULL,התאנה 2,NULL,NULL
50068,מולטי ריטייל גרופ בעמ - שדרות סניף 48,123,גליס 9 צומת סגולה,NULL,סמטת הפלדה 5,מחסן,פתח תקווה
50635,אלי אסולין קרמיקה בעמ,103,משה שרת 10,NULL,משה שרת 10,גיול חובות,ראשון לציון
50298,ס.א.נ  צנרת וקרמיקה בעמ,117,ת.ד 483,NULL,כצנלסון 8,רונן,אשקלון
50425,ש.ד שוהם קרמיקה בעמ,109,הנפח 14,NULL,הנפח 14,"מייל תמ""ש",חיפה
50271,ג.א. קרמיקה ייבוא קרמיקה,109,ת.ד 182,NULL,העבודה 45,NULL,אשדוד
70019,סהר רחל ופנחס,107,יצחק ולד 49,NULL,לא ידוע,אבישג,"ראשל""צ"
50158,הום  סנטר נתיבות,114,טוליפמן 7,NULL,בעלי המלאכה 203,NULL,ראשון לציון
50064,מולטי ריטייל גרופ בעמ - רגבה מרכז ביג סניף 73,123,גליס 9 צומת סגולה,NULL,-,מחסן,פתח תקווה
50125,דור קרמיקה,117,מגרשי התערוכה הישנים,NULL,-,NULL,תל אביב
50597,סופר קרמיק ראשון לציון,120,NULL,NULL,בן צבי 43,NULL,NULL
50075,מולטי ריטייל גרופ בעמ - כס סניף 32,123,גליס 9 צומת סגולה,NULL,ויצמן 301,מייל בירור הזמנות,פתח תקווה
50167,הום  סנטר רז מלחה,114,טוליפמן 7,NULL,קניון ירושלים,NULL,ראשון לציון
50225,יעקב חרש בעמ  -פרוייקטים,131,המרכבה 10,5885021,המרכבה,דוח סטטוס יומי,חולון
50222,יעקב חרש בעמ - אשדוד,131,הבנאי 12,NULL,-,מייל הזמנות,חולון
50170,הום  סנטר תל חנן נשר,114,טוליפמן 7,NULL,דרך בר יהודה 147,NULL,ראשון לציון
50175,הום סנטר זכרון יעקב,114,טוליפמן 7,NULL,-,NULL,ראשון לציון
50518,סופר קרמיק פתח תקווה,120,NULL,NULL,אלכסנדר ינאי 26,NULL,NULL
50123,דונטלו ל.י.י.ב בעמ,109,דרך הים 11/36 גני תקווה,5591217,אלכסנדר ינאי 5,"מייל תמ""ש",גני תקווה
50771,מור לוי התקנות,103,סטרומה 2,7553234,סטרומה 2,NULL,ראשון לציון
50577,חרסינה,123,ת.ד 1162,16910,העבודה 3,בעלים,דבוריה
70005,שמחון אוחנה,107,-,NULL,NULL,NULL,-
50132,הדר קרמיקה,123,האומנות 20 א.ת דרום,4250449,האומנות 20 א.ת דרום,הזמנות,נתניה
70011,אורן גיבר,107,אבנר בן נר 10,NULL,NULL,NULL,נס ציונה
50527,נגב קרמיקה ירושלים,113,NULL,NULL,הסדנא 11,NULL,NULL
50607,מולטי ריטייל גרופ בעמ - נתיבות סניף 37,123,גליס 9 צומת סגולה,NULL,צים סנטר,מחסן,פתח תקווה
50003,ש.ד.י ברזים וקרמיקה,109,טוליפמן 2,7536402,טוליפמן 2,"מייל תמ""ש",ראשון לציון
50054,מולטי ריטייל גרופ בעמ - יהוד סניף 50,123,גליס 9 צומת סגולה,NULL,"צומת הטייסים, מרכז מסחרי",מייל בירור הזמנות,פתח תקווה
50156,הום  סנטר נצרת,114,טוליפמן 7,NULL,דרך החטיבות קניון לב העיר,NULL,ראשון לציון
50481,יעקב הכהן,107,חיים שירמן 3,NULL,NULL,NULL,באר שבע
70050,אלמוג כדאי,125,NULL,NULL,NULL,NULL,NULL
